MC-ID NO.,Street Name,Location,Village Name,Area,County
SE 171ST,Cobblestone Street,Marion - Unit 64,Calumet Grove,4,Marion
,Cochran Street,VOF - Unit 627 (Swallowtail Villas),Hammock at Fenney,12,Sumter
,Coffman Loop,VOSO - Unit 729 (Marja Villas),Marsh Bend,12,Sumter
,Cog Hill Drive,Lake - Unit 10,Orange Blossom Gardens,LL,Lake
,Coker Court,VOSO - Unit 56,St. Catherine,13,Sumter
,Cokesbury Drive,Sumter - Unit 111,Caroline,6,Sumter
,Cole Place,VOSO - Unit 212 (Walker Villas),Moultrie Creek,15,Sumter
,Coleman Drive,Lake - Unit 30,Pine Hills,11,Lake
,Coleman Drive,Lake - Unit 32,Pine Hills,11,Lake
SE 84TH,Colerain Circle,Marion - Unit 54,Briar Meadow,4,Marion
,Colleen Court,VOWL - Unit 44,Newell,14,Lake
,Collerette Court,VOSO - Unit 133,DeLuna,13,Sumter
,Colleton Court,Sumter - Unit 649 (Rainey Villas),Ashland,5,Sumter
,Collier Court,Southern Trace Comm. Area,N/A,SC,Sumter
,Collington Drive,Sumter - Unit 651 (Collington Villas),Lynnhaven,5,Sumter
,Collins Court,Lake - Unit 25,Pine Ridge,11,Lake
,Collopy Place,VOSO - Unit 73 (Reese Villas),Citrus Grove,13,Sumter
,Colonsay Avenue,VOWL - Unit 82 (Maddie Villas),Dabney,14,Lake
,Colony Boulevard,Colony Plaza,N/A,SC,Sumter
,Colson Court,VOF - Unit 9 (Garden Verandas),Fenney,12,Sumter
SE 175TH,Columbia Place,Marion - Unit 59,Chatham,4,Marion
,Columbia Way,Sumter - Unit 141,Bonita,7,Sumter
,Combs Court,Lake - Unit 26,Pine Ridge,11,Lake
,Commerce Court,VOSO - Unit 142 (Richmond Verandas East),Richmond,13,Sumter
,Commodore Drive,Sumter - Unit 828 (The Cabanas @ Creekside Landing),Bridgeport @ Creekside Landing,8,Sumter
,Conchas Drive,Sumter - Unit 607 (Villa Escandido),Santiago,2,Sumter
,Concord Court,Sumter - Unit 239 (Clifton Villas),Bonnybrook,5,Sumter
,Condrey Court,VOF - Unit 12,Fenney,12,Sumter
,Congaree Loop,Sumter - Unit 194,Osceola Hills,10,Sumter
,Conley Court,VOSO - Unit 57,Citrus Grove,13,Sumter
,Connor Way,VOF - Unit 626 (Palmetto Villas),Hammock at Fenney,12,Sumter
,Connor Way,VOF - Unit 629 (Redbud Villas),Hammock at Fenney,12,Sumter
,Conroe Street,VOWL - Unit 75 (Kierstin Villas),Dabney,14,Lake
,Conservation Trail,Lake - Unit 31,Pine Hills,11,Lake
,Constance Court,VOSO - Unit 30A,DeLuna,12,Sumter
,Contreras Lane,Sumter - Unit 25,Santo Domingo,2,Sumter
,Conway Court,Sumter - Unit 663 (Richmond Villas),Virginia Trace,6,Sumter
SE 168TH,Cook Place,Marion - Unit 232 (Phillips Villas),Woodbury at Phillips,4,Marion
SE 171ST,Cooper Loop,Marion - Unit 49,Woodbury,4,Marion
,Cope Place,Sumter - Unit 90,Sunset Pointe,5,Sumter
,Coral Way,Pinellas Plaza,N/A,SC,Sumter
SE 76TH,Corapeake Court,Marion - Unit 61,Chatham,4,Marion
,Corbett Drive,Sumter - Unit 127,Amelia,6,Sumter
,Corbin Trail,District 12 Roadway,N/A,12,Sumter
,Corbin Trail,Villages Of Sumter Throughway,N/A,12,Sumter
,Corbin Trail,Villages of Southern Oaks Throughway,N/A,SC,Sumter
,Cordelia Place,Sumter - Unit 139,Hemingway,7,Sumter
,Corder Run,VOSO - Unit 30A,DeLuna,12,Sumter
,Cordero Court,Sumter - Unit 19,Santo Domingo,2,Sumter
,Cordero Court,Sumter - Unit 22,Santo Domingo,2,Sumter
,Cordero Court,Sumter - Unit 26,Santo Domingo,2,Sumter
,Cordgrass Court,VOF - Unit 614 (Sand Pine Villas),Fenney,12,Sumter
,Cordova Circle,Sumter - Unit 122,Largo,6,Sumter
,Corley Court,VOSO - Unit 50,St. Catherine,13,Sumter
,Cormorant Terrace,Sumter - Unit 802 (Edgewater Bungalows),Bridgeport @ Creekside Landing,6,Sumter
,Cornwall Way,VOWL - Unit 74,Dabney,14,Lake
,Corona Avenue,Sumter - Unit 9,Hacienda,1,Sumter
,Corona Court,Sumter - Unit 4,Rio Ponderosa,1,Sumter
,Coronaca Court,Sumter - Unit 194,Osceola Hills,10,Sumter
,Corsair Court,Lake - Unit 31,Pine Hills,11,Lake
,Cortez Avenue,Lake - Unit 16,El Cortez,LL,Lake
,Cortez Court,Lake - Unit 16,El Cortez,LL,Lake
,Cosentino Court,VOSO - Unit 44,Chitty Chatty,13,Sumter
,Cosmos Way,Sumter - Unit 220,Hillsborough,10,Sumter
,Cosmos Way,Sumter - Unit 221,Hillsborough,10,Sumter
,Costa Mesa Drive,Lake - Unit 23,La Zamora,LL,Lake
SE 169TH,Cote Loop,Marion - Unit 233 (Soulliere Villas),Chatham at Soulliere,4,Marion
,Cottage Drive,Sumter - Unit 657 (Lakeshore Cottages),Bridgeport @ Lake Shore Cottages,6,Sumter
,Cottageville Lane,Sumter - Unit 717 (Bonita Villas),Bonita,7,Sumter
,Cottontail Court,VOF - Unit 2,Fenney,12,Sumter
SE 83RD,Cottonwood Terrace,Marion - Unit 218 (Greenbriar Villas),Briar Meadow,4,Marion
,Cottrell Court,VOF - Unit 629 (Redbud Villas),Hammock at Fenney,12,Sumter
SE 94TH,Coults Circle,Marion - Unit 50,Woodbury,4,Marion
,Countryside Path,Sumter - Unit 181,Charlotte,9,Sumter
,Countryside Path,Sumter - Unit 182,Charlotte,9,Sumter
,Countrywind Court,Sumter - Unit 825 (Southern Star Villas),Tamarind Grove,8,Sumter
,Cousino Court,VOSO - Unit 212 (Walker Villas),Moultrie Creek,15,Sumter
,Couture Street,VOSO - Unit 741 (Austin Villas),Chitty Chatty,13,Sumter
,Coven Court,VOSO - Unit 44,Chitty Chatty,13,Sumter
SE 88TH,Covington Circle,Marion - Unit 53 (Royal Oak),Springdale,4,Marion
,Coward Court,Sumter - Unit 192,Osceola Hills,10,Sumter
,Cowardin Court,VOSO - Unit 110,Richmond,13,Sumter
,Coyne Loop,VOSO - Unit 140,Hammock at Fenney,13,Sumter
,Crabapple Lane,Lake - Unit 78 (Spring Arbor Village),Spring Arbor,LC,Lake
,Craft Court,VOF - Unit 618 (Spartina Villas),Desoto,12,Sumter
,Craig Court,Villages of Southern Oaks Throughway,N/A,SC,Sumter
,Crane Doran Place,VOSO - Unit 206 (Moultrie Creek Verandas East),Moultrie Creek,15,Sumter
,Craven Way,Sumter - Unit 651 (Collington Villas),Lynnhaven,5,Sumter
,Crawford Court,Sumter - Unit 83,Ashland,5,Sumter
,Cree Court,VOSO - Unit 23,Marsh Bend,12,Sumter
SE 76TH,Creekside Circle,Marion - Unit 64,Calumet Grove,4,Marion
,Creekside Drive,Sumter - Unit 828 (The Cabanas @ Creekside Landing),Bridgeport @ Creekside Landing,8,Sumter
,Creekside Way,Sumter - Unit 828 (The Cabanas @ Creekside Landing),Bridgeport @ Creekside Landing,8,Sumter
,Crego Court,VOSO - Unit 129,DeLuna,13,Sumter
,Creighton Loop,VOSO - Unit 104,Richmond,13,Sumter
SE 91ST,Crenshaw Terrace,Marion - Unit 232 (Phillips Villas),Woodbury at Phillips,4,Marion
SE 88TH,Crestbrook Court,Marion - Unit 54,Briar Meadow,4,Marion
,Crestview Street,Sumter - Unit 812 (Crestview Villas),Buttonwood,8,Sumter
,Crestwood Lane,Sumter - Unit 703 (Crestwood Villas),Duval,7,Sumter
,Crews Court,Lake - Unit 33,Pine Hills,11,Lake
,Cristo Road,Sumter - Unit 19,Santo Domingo,2,Sumter
,Cromer Place,VOSO - Unit 733 (Rhett Villas),Linden,12,Sumter
,Cross Hill Drive,Sumter - Unit 234,Lake Deaton,10,Sumter
SE 78TH,Crowfield Avenue,Marion - Unit 223 (Villas Of Cameron),Calumet Grove,4,Marion
,Crowned Caterpillar Drive,VOF - Unit 3,Fenney,12,Sumter
,Crowned Caterpillar Drive,VOF - Unit 4,Fenney,12,Sumter
,Croy Street,VOWL - Unit 65,Lake Denham,14,Lake
,Cruz Court,Sumter - Unit 4,Rio Ponderosa,1,Sumter
,Crystal Court,Sumter - Unit 285 (Clayton Villas),Ashland,5,Sumter
,Culpepper Way,Sumter - Unit 74,Bonnybrook,5,Sumter
SE 91ST,Culvert Court,Marion - Unit 49,Woodbury,4,Marion
,Cumbaa Court,VOWL - Unit 43 (Mason Villas),Newell,14,Lake
,Cumberland Court,Sumter - Unit 75,Bonnybrook,5,Sumter
,Curren Court,VOSO - Unit 78 (Cason Hammock Verandas),Cason Hammock,13,Sumter
,Currie Court,VOF - Unit 623 (Cypress Villas),Fenney,12,Sumter
SE 71ST,Currituck Terrace,Marion - Unit 62,Chatham,4,Marion
SE 93RD,Cuthbert Circle,Marion - Unit 51,Woodbury,4,Marion
,Cutters Corner,Sumter - Unit 679 (Glen Hollow Farms),N/A,SC,Sumter
,Cynthia Street,VOSO - Unit 102,St. Johns,13,Sumter
,Cypress Point,Lake - Unit 10,Orange Blossom Gardens,LL,Lake
,Cyr Court,Lake - Unit 39,Pine Hills,11,Lake
,D'Angelo Lane,Sumter - Unit 971 (Haciendas Of Mission Hills),Bridgeport @ Mission Hills,9,Sumter
,Dadeo Place,VOSO - Unit 14,McClure,12,Sumter
,Daffodil Court,Sumter - Unit 147,Duval,7,Sumter
,Daffodill Lane,Lake - Unit 8,Country Club,LL,Lake
,Dafoe Terrace,Sumter - Unit 210,Gilchrist,9,Sumter
,Dagenais Way,VOSO - Unit 43,Linden,12,Sumter
,Dalecroft Trail,Sumter - Unit 170,Buttonwood,8,Sumter
,DAlessandro Road,VOSO - Unit 97 (Ruby Villas),St. Johns,13,Sumter
,Dalkeith Terrace,Sumter - Unit 199,Charlotte,9,Sumter
,Dalton Drive,Sumter - Unit 611 (Villa St. Simons),Belle Aire,3,Sumter
,Dalzell Court,Sumter - Unit 115,Mallory Square,6,Sumter
,Danbury Street,Sumter - Unit 239 (Clifton Villas),Bonnybrook,5,Sumter
SE 167TH,Dandrea Place,Marion - Unit 232 (Phillips Villas),Woodbury at Phillips,4,Marion
,Danforth Court,Sumter - Unit 69,Summerhill,3,Sumter
,Daniel Way,VOWL - Unit 64 (Lake Denham Verandas West),Lake Denham,14,Lake
,Danielson Loop,VOSO - Unit 71,Citrus Grove,13,Sumter
,Danisha Court,VOSO - Unit 47,Bradford,13,Sumter
SE 92ND,Danna Avenue,Marion - Unit 232 (Phillips Villas),Woodbury at Phillips,4,Marion
,Danwood Place,Sumter - Unit 812 (Crestview Villas),Buttonwood,8,Sumter
,Darby Place,Sumter - Unit 73,Bonnybrook,5,Sumter
,Darien Way,Sumter - Unit 37,Glenbrook,3,Sumter
,Dario Court,Sumter - Unit 18,Santo Domingo,2,Sumter
,Darlington Drive,Sumter - Unit 97,Liberty Park,5,Sumter
,Dartford Terrace,Sumter - Unit 715 (Bainbridge Villas),Hadley,7,Sumter
,Darwin Terrace,Sumter - Unit 131,Amelia,6,Sumter
,Daughtry Court,VOSO - Unit 99,St. Johns,13,Sumter
,Davenport Drive,Sumter - Unit 67,Summerhill,3,Sumter
,Davey Lane,VOSO - Unit 75,Cason Hammock,13,Sumter
,Davidson Avenue,Sumter - Unit 70,Winifred,5,Sumter
,Davis Terrace,VOSO - Unit 127 (Clara Villas),DeLuna,13,Sumter
,Davit Place,Sumter - Unit 710 (Margaux Villas),Hemingway,7,Sumter
,Davock Road,Lofts at Brownwood,N/A,SC,Sumter
,Dawn Place,VOSO - Unit 122 (Warnell Villas),DeLuna,13,Sumter
,Day Drive,Sumter - Unit 966 (Antrim Dells),Collier @ Antrim Dells,10,Sumter
,Day Lily Run,Sumter - Unit 146,Duval,7,Sumter
,Day Lily Run,Sumter - Unit 147,Duval,7,Sumter
,De Hoyos Place,Sumter - Unit 18,Santo Domingo,2,Sumter
,De La Fuente Court,Sumter - Unit 28,Santiago,2,Sumter
,De La Garza Place,Sumter - Unit 27,Santiago,2,Sumter
,De La Rosa Street,Sumter - Unit 31,Alhambra,2,Sumter
SE 175TH,De Lancy Lane,Marion - Unit 48,Springdale,4,Marion
,De Silva Street,Sumter - Unit 9,Hacienda,1,Sumter
,Deanna Avenue,VOSO - Unit 51,St. Catherine,13,Sumter
,Dearborn Place,Sumter - Unit 821 (Mangrove Villas),Pennecamp,8,Sumter
,Deauville Court,Sumter - Unit 180,Charlotte,9,Sumter
,Debra Drive,Lake - Unit 2,Orange Blossom Gardens,LC,Lake
,Declerk Loop,VOSO - Unit 31,DeLuna,12,Sumter
SE 72ND,Deer Run Avenue,Marion - Unit 62,Chatham,4,Marion
,Deerfield Lane,Sumter - Unit 37,Glenbrook,3,Sumter
,Dees Drive,Sumter - Unit 966 (Antrim Dells),Collier @ Antrim Dells,10,Sumter
,Del Mar Drive,Lake - Unit 14,Del Mar,LL,Lake
,Del Mar Drive,Lake - Unit 15,Del Mar,LL,Lake
,Del Mar Drive,Lake - Unit 17A,Mira Mesa,LL,Lake
,Del Mar Drive,Lake - Unit 18,Mira Mesa,LL,Lake
,Del Mar Drive,Lake - Unit 19,Mira Mesa,LL,Lake
,Del Mar Drive,Spanish Springs Town Center,N/A,LL,Lake
,Del Norte Drive,Sumter - Unit 13,Palo Alto,1,Sumter
,Del Rio Drive,Lake - Unit 18,Mira Mesa,LL,Lake
,Del Rio Drive,Lake - Unit 19,Mira Mesa,LL,Lake
,Del Rosario Street,Sumter - Unit 14,De La Vista,1,Sumter
,Del Toro Drive,Lake - Unit 14,Del Mar,LL,Lake
,Del Toro Drive,Lake - Unit 15,Del Mar,LL,Lake
,Delbagno Court,VOSO - Unit 120,DeLuna,13,Sumter
,Delfin Road,Sumter - Unit 195,Osceola Hills,10,Sumter
,Delgado Avenue,Sumter - Unit 686 (Villa De La Mesa),Rio Grande,1,Sumter
SE 178TH,Delia Place,Marion - Unit 47,Springdale,4,Marion
,Delk Drive,Lake - Unit 37,Pine Ridge,11,Lake
,Dellano Way,Sumter - Unit 25,Santo Domingo,2,Sumter
,Delong Place,VOSO - Unit 26,Marsh Bend,12,Sumter
,Delphina Loop,VOF - Unit 7,Desoto,12,Sumter
,Delwood Way,Sumter - Unit 166,Pennecamp,8,Sumter
,Demarco Drive,VOSO - Unit 20,Marsh Bend,12,Sumter
,Deming Avenue,VOSO - Unit 16,McClure,12,Sumter
SE 93RD,Demoss Court,Marion - Unit 215 (Ivystone Villas),Woodbury,4,Marion
,Dempsey Lane,VOSO - Unit 43,Linden,12,Sumter
,Denaud Place,VOSO - Unit 85 (Carley Villas),Hawkins,13,Sumter
,Denicola Drive,Lake - Unit 34,Pine Hills,11,Lake
,Denmark Place,Sumter - Unit 674 (Janeann Villas),Mallory Square,6,Sumter
SE 177TH,Dennis Place,Marion - Unit 47,Springdale,4,Marion
,Dentsville Lane,Sumter - Unit 123,Largo,6,Sumter
,Denver Avenue,VOWL - Unit 62 (Cooper Villas),Lake Denham,14,Lake
SE 86TH,Deptford Court,Marion - Unit 54,Briar Meadow,4,Marion
,Derby Avenue,Sumter - Unit 205,Fernandina,9,Sumter
,Derringer Avenue,Sumter - Unit 136,Bonita,7,Sumter
,Deskin Lane,Sumter - Unit 192,Osceola Hills,10,Sumter
,Deskin Lane,Sumter - Unit 193,Osceola Hills,10,Sumter
,Deskin Lane,Sumter - Unit 194,Osceola Hills,10,Sumter
,Deskin Lane,Sumter - Unit 195,Osceola Hills,10,Sumter
,Desota Court,Lake - Unit 19,Mira Mesa,LL,Lake
,Detwiler Lane,VOSO - Unit 97 (Ruby Villas),St. Johns,13,Sumter
,Deuberry Terrace,Sumter - Unit 178,Sanibel,9,Sumter
SE 178TH,Deveaux Lane,Marion - Unit 45,Piedmont,4,Marion
,Devito Court,Sumter - Unit 194,Osceola Hills,10,Sumter
,Devlin Road,Brownwood,N/A,SC,Sumter
,Devon Drive,Lake - Unit 5,Silver Lake,LL,Lake
,Devonshire Way,Sumter - Unit 129,Amelia,6,Sumter
,Dewitt Circle,Lake - Unit 33,Pine Hills,11,Lake
,Dewitt Circle,Lake - Unit 34,Pine Hills,11,Lake
,Diane Street,VOSO - Unit 127 (Clara Villas),DeLuna,13,Sumter
,Diaz Lane,Sumter - Unit 18,Santo Domingo,2,Sumter
,Diego Court,Lake - Unit 18,Mira Mesa,LL,Lake
,Dijulio Terrace,VOSO - Unit 41,Monarch Grove,12,Sumter
,Dill Lane,VOSO - Unit 109 (Richmond Verandas South),Richmond,13,Sumter
,Dillon Lane,Sumter - Unit 285 (Clayton Villas),Ashland,5,Sumter
,Dingman Way,VOSO - Unit 68,Citrus Grove,13,Sumter
SE 168TH,Dipietro Lane,Marion - Unit 233 (Soulliere Villas),Chatham at Soulliere,4,Marion
,Dipper Loop,Sumter - Unit 129,Amelia,6,Sumter
,Diver Loop,VOF - Unit 10,Fenney,12,Sumter
,Dividing Creek Path,Sumter - Unit 159,Tamarind Grove,8,Sumter
,Dixon Lane,Sumter - Unit 39,Glenbrook,3,Sumter
,Dobbins Terrace,Sumter - Unit 127,Amelia,6,Sumter
,Dock Street,VOSO - Unit 111 (Richmond Verandas North),Richmond,13,Sumter
,Dodson Drive,West Woodrow Commerce Park,N/A,WWCP,Sumter
,Dogwood Street,Sumter - Unit 714 (Double Palm Villas),Duval,7,Sumter
,Dolan Court,Sumter - Unit 970 (Harlow Villas),Labelle,10,Sumter
,Dolorosa Court,Sumter - Unit 7,Hacienda,1,Sumter
,Dominguez Drive,Sumter - Unit 686 (Villa De La Mesa),Rio Grande,1,Sumter
,Dominique Lane,VOSO - Unit 55,St. Catherine,13,Sumter
,Donahe Path,VOSO - Unit 46,Bradford,13,Sumter
,Donalds Place,Sumter - Unit 111,Caroline,6,Sumter
,Donelin Circle,VOWL - Unit 73,Dabney,14,Lake
,Donna Avenue,VOWL - Unit 54 (Sadie Villas),Newell,14,Lake
,Donna Avenue,VOWL - Unit 55 (Newell Verandas South),Newell,14,Lake
,Dooley Street,VOF - Unit 619 (Lantana Villas),Desoto,12,Sumter
,Doral Circle,Lake - Unit 9,Country Club,LL,Lake
,Doral Circle,Lake - Unit 10,Orange Blossom Gardens,LL,Lake
,Dorchester Avenue,Sumter - Unit 660 (Sullivan Villas),Poinciana,5,Sumter
,Doria Lane,Sumter - Unit 22,Santo Domingo,2,Sumter
,Doric Avenue,Sumter - Unit 128,Amelia,6,Sumter
,Doris Court,VOSO - Unit 108 (Doris Villas),Richmond,13,Sumter
,Dorst Lane,Sumter - Unit 161,Buttonwood,8,Sumter
,Double Palm Street,Sumter - Unit 714 (Double Palm Villas),Duval,7,Sumter
,Douglas Lane,VOSO - Unit 34 (Linden Verandas),Linden,12,Sumter
,Dovalina Road,Sumter - Unit 28,Santiago,2,Sumter
,Dove Hollow Run,Sumter - Unit 150,St. Charles,8,Sumter
,Dowding Way,Sumter - Unit 36,Polo Ridge,3,Sumter
,Downers Grove,Sumter - Unit 77,Belvedere,5,Sumter
,Downey Lane,VOSO - Unit 16,McClure,12,Sumter
,Dragon Place,Sumter - Unit 185,Labelle,10,Sumter
,Drake Drive,Villages Of Fruitland Park Throughway,N/A,11,Lake
,Drakeswood Avenue,Sumter - Unit 677 (Tanglewood Villas),Sabal Chase,6,Sumter
,Draper Avenue,VOWL - Unit 71 (Annison Villas),Lake Denham,14,Lake
SE 78TH,Draughton Court,Marion - Unit 222 (Villas Of Sherwood),Chatham,4,Marion
,Dray Drive,VOSO - Unit 46,Bradford,13,Sumter
,Dray Drive,VOSO - Unit 46,Bradford,13,Sumter
,Dray Drive,VOSO - Unit 47,Bradford,13,Sumter
,Dray Drive,VOSO - Unit 60 (Opal Villas),Bradford,13,Sumter
SE 171ST,Drayton Place,Marion - Unit 49,Woodbury,4,Marion
,Dressendorfer Drive,Lake - Unit 36,Pine Ridge,11,Lake
,Drew Circle,VOSO - Unit 103,St. Johns,13,Sumter
,Driftwood Place,Sumter - Unit 172,Hemingway,7,Sumter
,Druid Street,Sumter - Unit 220,Hillsborough,10,Sumter
,Duarte Lane,Sumter - Unit 690 (Villa De La Vista South),De La Vista,1,Sumter
,Duck Lake Road,Industrial Area,N/A,LL,Lake
,Ducksbury Street,Sumter - Unit 215,Fernandina,9,Sumter
,Dudley Terrace,Sumter - Unit 143,Hemingway,7,Sumter
,Due West Drive,Sumter - Unit 85,Lynnhaven,5,Sumter
,Due West Drive,Sumter - Unit 86,Lynnhaven,5,Sumter
,Duffy Loop,Sumter - Unit 118,Sabal Chase,6,Sumter
,Duke Terrace,Sumter - Unit 176,Sanibel,9,Sumter
,Dumas Street,Sumter - Unit 693 (Villa Valdez),De La Vista,1,Sumter
,Dunbar Avenue,Sumter - Unit 138,Hemingway,7,Sumter
,Duncan Drive,Sumter - Unit 108,Virginia Trace,6,Sumter
,Duncan Drive,Sumter - Unit 109,Virginia Trace,6,Sumter
,Dundee Terrace,Sumter - Unit 711 (Adriana Villas),Hemingway,7,Sumter
,Dunham Drive,VOSO - Unit 24,Marsh Bend,12,Sumter
,Dunkirk Trail,Sumter - Unit 134,Hadley,7,Sumter
,Dunster Court,Sumter - Unit 157,Buttonwood,8,Sumter
,Duran Drive,Sumter - Unit 601 (Villa De Leon),Alhambra,2,Sumter
,Durango Drive,Sumter - Unit 14,De La Vista,1,Sumter
,Durham Lane,Sumter - Unit 73,Bonnybrook,5,Sumter
,Dustin Drive,Lake - Unit 3.1B,Silver Lake,LC,Lake
,Dustin Drive,Lake - Unit 5,Silver Lake,LL,Lake
,Duszynski Terrace,VOSO - Unit 123 (DeLuna Verandas East),DeLuna,13,Sumter
,Dutchess Loop,Sumter - Unit 148,St. Charles,8,Sumter
,Duval Court,Sumter - Unit 658 (Bailey Ridge Villas),Poinciana,5,Sumter
,Duxbury Lane,Sumter - Unit 806 (Azalea Villas),Pennecamp,8,Sumter
,Dwayne Avenue,VOWL - Unit 63,Lake Denham,14,Lake
,Dwight Drive,VOWL - Unit 60,Lake Denham,14,Lake
,Dyals Court,VOF - Unit 8,Fenney,12,Sumter
,Dyer Court,VOSO - Unit 20,Marsh Bend,12,Sumter
,Dynasty Place,Sumter - Unit 952 (Placida Villas),Fernandina,9,Sumter
,Dyson Loop,VOSO - Unit 727 (Lee Villas),Marsh Bend,12,Sumter
,Dzuro Drive,Sumter - Unit 833 (Oxford Oaks),Oxford Oaks,Oxford Oaks,Sumter
,Eads Terrace,VOSO - Unit 20,Marsh Bend,12,Sumter
,Eagle Ridge Drive,Sumter - Unit 653 (Eagle Ridge Villas),Liberty Park,5,Sumter
,Eagle Ridge Drive,Sumter - Unit 96,Liberty Park,5,Sumter
,Eaglemont Avenue,Sumter - Unit 646 (Bellamy Villas),Ashland,5,Sumter
,Earl Way,Sumter - Unit 216,Hillsborough,10,Sumter
,Easley Way,Sumter - Unit 665 (Stillwater Villas),Virginia Trace,6,Sumter
,East Gaffney Avenue,Sumter - Unit 104,Tall Trees,6,Sumter
,East Schwartz Boulevard,Lake - Unit 8,Country Club,LL,Lake
,East Schwartz Boulevard,Lake - Unit 10,Orange Blossom Gardens,LL,Lake
,East Schwartz Boulevard,Lake - Unit 12,Silver Lake,LL,Lake
,East Torch Lake Drive,Sumter - Unit 966 (Antrim Dells),Collier @ Antrim Dells,10,Sumter
,Eastbourne Lane,Sumter - Unit 180,Charlotte,9,Sumter
,Eastfield Path,Sumter - Unit 209,Gilchrist,9,Sumter
,Eastmont Court,Sumter - Unit 67,Summerhill,3,Sumter
,Eastover Terrace,Sumter - Unit 116,Mallory Square,6,Sumter
,Eastpoint Street,Sumter - Unit 810 (Cedar Key Villas),Buttonwood,8,Sumter
,Eastwood Terrace,Sumter - Unit 943 (Bartow Villas),Pinellas,9,Sumter
,Eaton Terrace,Sumter - Unit 88,Lynnhaven,5,Sumter
,Ebling Loop,VOSO - Unit 48,St. Catherine,13,Sumter
,Eby Place,VOSO - Unit 20,Marsh Bend,12,Sumter
,Echols Court,VOWL - Unit 58 (Olivia Villas),Lake Denham,14,Lake
,Ecoff Place,VOWL - Unit 42 (Lucas Villas),Newell,14,Lake
,Eden Place,Sumter - Unit 89,Lynnhaven,5,Sumter
,Edenton Terrace,Sumter - Unit 803 (Altamonte Villas),Pennecamp,8,Sumter
,Edenville Path,Sumter - Unit 153,St. James,8,Sumter
,Edgefield Drive,Sumter - Unit 662 (Edgefield Villas),Liberty Park,5,Sumter
,Edgemoor Terrace,Sumter - Unit 152,St. James,8,Sumter
,Edgewater Lane,Sumter - Unit 802 (Edgewater Bungalows),Bridgeport @ Creekside Landing,6,Sumter
,Edgeworth Terrace,Sumter - Unit 949 (Megan Villas),Sanibel,9,Sumter
,Edisto Lane,Sumter - Unit 656 (Mount Pleasant Villas),Poinciana,5,Sumter
,Edmonton Place,Sumter - Unit 132,Hadley,7,Sumter
,Eduardo Place,Sumter - Unit 693 (Villa Valdez),De La Vista,1,Sumter
,Edwards Lane,Sumter - Unit 89,Lynnhaven,5,Sumter
,Egerton Place,Sumter - Unit 34,Polo Ridge,3,Sumter
,Egret Court,Sumter - Unit 91,Sunset Pointe,5,Sumter
,Ehrhardt Place,Sumter - Unit 673 (Newport Villas),Largo,6,Sumter
,Einsgrove Way,Sumter - Unit 199,Charlotte,9,Sumter
,Eisenhower Way,Sumter - Unit 230,Collier,10,Sumter
,El Camino Real,Villages Of Sumter Throughway,N/A,2,Sumter
,El Camino Real,Villages Of Sumter Throughway,N/A,2,Sumter
,El Camino Real,Plaza Professional Park,N/A,LL,Lake
,El Esparza Lane,Sumter - Unit 22,Santo Domingo,2,Sumter
,El Lobo Way,Sumter - Unit 1,Rio Grande,1,Sumter
,El Nino Street,Sumter - Unit 24,Alhambra,2,Sumter
,El Nino Street,Sumter - Unit 603 (Villa Del Canto),Alhambra,2,Sumter
,El Paso Way,Sumter - Unit 24,Alhambra,2,Sumter
,Elaine Court,VOWL - Unit 59 (Will Villas),Lake Denham,14,Lake
,Elana Place,Sumter - Unit 600 (Villa Vera Cruz),Santo Domingo,2,Sumter
SE 168TH,Elderberry Place,Marion - Unit 52,Woodbury,4,Marion
,Eldon Place,Sumter - Unit 170,Buttonwood,8,Sumter
,Eldra Loop,Sumter - Unit 801 (Pilar Villas),Bonita,7,Sumter
,Eldridge Loop,Sumter - Unit 165,Pennecamp,8,Sumter
,Eleanor Lane,Sumter - Unit 946 (Eleanor Villas),Pinellas,9,Sumter
,Elgin Street,Sumter - Unit 38,Glenbrook,3,Sumter
,Elijah Loop,VOSO - Unit 116 (Elijah Villas),DeLuna,13,Sumter
,Elin Place,VOSO - Unit 100 (Elin Villas),St. Johns,13,Sumter
,Elise Place,VOSO - Unit 89 (Elise Villas),Hawkins,13,Sumter
,Elizabeth Court,Sumter - Unit 668 (Elizabeth Villas),Caroline,6,Sumter
,Elkington Road,VOWL - Unit 66,Lake Denham,14,Lake
,Elko Court,Sumter - Unit 109,Virginia Trace,6,Sumter
,Ellenton Run,Sumter - Unit 135,Hadley,7,Sumter
SE 85TH,Ellerbe Avenue,Marion - Unit 44,Piedmont,4,Marion
SE 81ST,Ellerslie Court,Marion - Unit 226 (Villas Of Merryoak),Calumet Grove,4,Marion
,Ellie Lane,VOSO - Unit 742 (Ellie Villas),Chitty Chatty,13,Sumter
,Elliott Avenue,Lake - Unit 106 (Jackson Villas),Pine Ridge,11,Lake
,Ellis Street,Sumter - Unit 707 (Allandale Villas),Duval,7,Sumter
,Ellison Place,Sumter - Unit 82,Ashland,5,Sumter
,Ellsworth Way,Sumter - Unit 43,Polo Ridge,3,Sumter
,Elm Street,Lake - Unit 3.1B,Silver Lake,LC,Lake
,Elton Place,Sumter - Unit 161,Buttonwood,8,Sumter
,Elwick Lane,Sumter - Unit 127,Amelia,6,Sumter
