MC-ID NO.,Street Name,Location,Village Name,Area,County
SE 80TH,Altamaha Court,Marion - Unit 66,Piedmont,4,Marion
,Altamonte Way,Sumter - Unit 803 (Altamonte Villas),Pennecamp,8,Sumter
,Alteza Lane,Sumter - Unit 183,Labelle,10,Sumter
,Altman Avenue,VOF - Unit 622 (Magnolia Villas),Desoto,12,Sumter
,Altman Court,VOSO - Unit 51,St. Catherine,13,Sumter
,Alton Avenue,VOSO - Unit 35,Linden,12,Sumter
,Alva Terrace,Sumter - Unit 946 (Eleanor Villas),Pinellas,9,Sumter
,Alvarado Place,Lake - Unit 80 (Courtyard Villas),El Cortez,LL,Lake
,Alverez Avenue,Spanish Springs Town Center,N/A,VCCDD,Lake
,Alwick Way,Sumter - Unit 175,Sanibel,9,Sumter
,Alwyne Avenue,Sumter - Unit 959 (Carrabelle Villas),Collier,10,Sumter
,Alysha Avenue,VOWL - Unit 79 (Alysha Villas),Dabney,14,Lake
,Alyssa Lane,VOSO - Unit 70 (Alyssa Villas),Citrus Grove,13,Sumter
,Alzarine Terrace,Sumter - Unit 220,Hillsborough,10,Sumter
,Amador Place,VOSO - Unit 141,Hammock at Fenney,13,Sumter
,Amanda Terrace,VOSO - Unit 51,St. Catherine,13,Sumter
,Amarillo Place,Lake - Unit 23,La Zamora,LL,Lake
,Amaya Avenue,Sumter - Unit 684 (San Pedro Courtyard),Rio Grande,1,Sumter
,Amber Court,Sumter - Unit 942 (Amber Villas),Charlotte,9,Sumter
,Amberjack Terrace,Sumter - Unit 804 (Amberjack Villas),Pennecamp,8,Sumter
,Amberly Court,Sumter - Unit 950 (Paige Villas),Sanibel,9,Sumter
,Ambler Circle,Sumter - Unit 75,Bonnybrook,5,Sumter
,Ambrosia Place,Sumter - Unit 132,Hadley,7,Sumter
,Amelia Avenue,Sumter - Unit 633 (Villa Amelia),Summerhill,3,Sumter
,Amherst Way,Sumter - Unit 209,Gilchrist,9,Sumter
,Amherst Way,Sumter - Unit 210,Gilchrist,9,Sumter
,Amici Avenue,Sumter - Unit 195,Osceola Hills,10,Sumter
,Amish Path,Sumter - Unit 217,Hillsborough,10,Sumter
SE 92ND,Amory Avenue,Marion - Unit 47,Springdale,4,Marion
,Amy Avenue,VOWL - Unit 57 (Alexis Villas),Lake Denham,14,Lake
,Anchor Avenue,Sumter - Unit 171,Bridgeport @ Miona Shores,6,Sumter
,Anchorage Road,Sumter - Unit 186,Labelle,10,Sumter
,Anders Avenue,VOSO - Unit 721 (Laine Villas),McClure,12,Sumter
,Anderson Court,Sumter - Unit 655 (Lime Grove Villas),Poinciana,5,Sumter
,Andrews Avenue,Sumter - Unit 90,Sunset Pointe,5,Sumter
,Andrus Lane,Sumter - Unit 194,Osceola Hills,10,Sumter
,Angel Avenue,VOWL - Unit 64 (Lake Denham Verandas West),Lake Denham,14,Lake
,Angela Avenue,VOSO - Unit 100 (Elin Villas),St. Johns,13,Sumter
,Angela Gray Way,VOSO - Unit 217,Moultrie Creek,15,Sumter
,Angelita Avenue,Sumter - Unit 693 (Villa Valdez),De La Vista,1,Sumter
,Anhinga Lane,VOF - Unit 1,Fenney,12,Sumter
,Anita Way,Sumter - Unit 800 (Anita Villas),Bonita,7,Sumter
,Ann Avenue,Lake - Unit 6,Silver Lake,LL,Lake
,Anna Maria Avenue,Villages Of Sumter Throughway,N/A,9,Sumter
SE 82ND,Annadale Terrace,Marion - Unit 66,Piedmont,4,Marion
,Annette Avenue,VOSO - Unit 83 (Brett Villas),Hawkins,13,Sumter
,Annison Terrace,VOWL - Unit 71 (Annison Villas),Lake Denham,14,Lake
,Anniston Drive,Sumter - Unit 641 (Heritage Villas),Bonnybrook,5,Sumter
,Ansel Avenue,Sumter - Unit 85,Lynnhaven,5,Sumter
